iter	Passed	Remaining
0	54	54482
1	55	27457
2	55	18475
3	56	13958
4	56	11217
5	56	9416
6	57	8141
7	57	7178
8	58	6409
9	58	5791
10	58	5286
11	59	4872
12	59	4531
13	60	4236
14	60	3981
15	61	3760
16	61	3566
17	62	3392
18	62	3238
19	63	3099
20	63	2975
21	64	2850
22	64	2746
23	65	2652
24	65	2561
25	66	2478
26	66	2401
27	67	2331
28	67	2263
29	67	2194
30	68	2131
31	68	2071
32	68	2015
33	69	1961
34	69	1911
35	69	1861
36	69	1817
37	70	1774
38	70	1737
39	70	1700
40	71	1663
41	71	1629
42	72	1607
43	72	1575
44	72	1545
45	73	1516
46	73	1488
47	73	1462
48	74	1436
49	74	1411
50	74	1388
51	74	1365
52	75	1346
53	75	1329
54	76	1311
55	76	1296
56	77	1281
57	77	1265
58	78	1247
59	78	1233
60	79	1220
61	79	1207
62	80	1194
63	80	1182
64	81	1170
65	81	1158
66	82	1143
67	82	1129
68	82	1117
69	83	1108
70	83	1098
71	84	1088
72	85	1079
73	85	1070
74	85	1060
75	86	1052
76	87	1043
77	87	1033
78	87	1025
79	88	1016
80	88	1006
81	89	998
82	89	991
83	90	983
84	90	977
85	91	971
86	91	965
87	92	956
88	93	952
89	93	946
90	94	939
91	96	953
92	97	948
93	97	942
94	98	935
95	98	929
96	99	925
97	99	918
98	100	911
99	100	904
100	100	897
101	101	889
102	101	882
103	101	875
104	101	868
105	102	863
106	102	858
107	103	854
108	104	850
109	104	846
110	105	841
111	105	837
112	106	833
113	106	828
114	107	824
115	107	818
116	107	814
117	108	810
118	108	806
119	109	802
120	110	799
121	110	796
122	111	791
123	111	787
124	111	783
125	112	783
126	113	779
127	114	777
128	114	774
129	115	770
130	115	766
131	115	762
132	116	758
133	116	753
134	116	749
135	117	744
136	117	740
137	118	737
138	118	735
139	119	732
140	119	729
141	120	725
142	120	721
143	120	717
144	121	713
145	121	709
146	121	705
147	121	701
148	122	698
149	122	694
150	122	690
151	123	687
152	123	683
153	123	679
154	124	676
155	124	671
156	124	668
157	124	664
158	125	661
159	125	657
160	125	654
161	125	651
162	126	648
163	126	646
164	127	644
165	127	642
166	128	640
167	129	638
168	129	637
169	129	634
170	130	631
171	130	628
172	130	625
173	131	622
174	131	619
175	131	616
176	132	614
177	132	611
178	132	608
179	132	605
180	133	602
181	133	600
182	133	597
183	134	595
184	134	593
185	135	592
186	135	590
187	136	588
188	136	586
189	137	585
190	137	583
191	138	581
192	138	580
193	139	581
194	140	580
195	141	578
196	141	577
197	142	575
198	142	574
199	143	573
200	143	571
201	144	570
202	144	569
203	145	567
204	145	566
205	146	564
